package_name,version,role,declared_in,usage_tier,files_with_import,import_edges,distinct_import_paths,top_import_paths
wit-bindgen,0.57.1,transitive,,transitive-only,0,0,0,
wit-bindgen-core,0.51.0,transitive,,transitive-only,0,0,0,
wit-bindgen-rust,0.51.0,transitive,,transitive-only,0,0,0,
wit-bindgen-rust-macro,0.51.0,transitive,,transitive-only,0,0,0,
wit-component,0.244.0,transitive,,transitive-only,0,0,0,
wit-parser,0.244.0,transitive,,transitive-only,0,0,0,
wkb,0.9.2,transitive,,transitive-only,0,0,0,
wkt,0.14.0,transitive,,transitive-only,0,0,0,
writeable,0.6.3,transitive,,transitive-only,0,0,0,
wyz,0.5.1,transitive,,transitive-only,0,0,0,
xattr,1.6.1,transitive,,transitive-only,0,0,0,
xxhash-rust,0.8.15,transitive,,transitive-only,0,0,0,
yoke,0.8.2,transitive,,transitive-only,0,0,0,
yoke-derive,0.8.2,transitive,,transitive-only,0,0,0,
zerocopy,0.8.48,transitive,,transitive-only,0,0,0,
zerocopy-derive,0.8.48,transitive,,transitive-only,0,0,0,
zerofrom,0.1.8,transitive,,transitive-only,0,0,0,
zerofrom-derive,0.1.7,transitive,,transitive-only,0,0,0,
zeroize,1.8.2,transitive,,transitive-only,0,0,0,
zerotrie,0.2.4,transitive,,transitive-only,0,0,0,
zerovec,0.11.6,transitive,,transitive-only,0,0,0,
zerovec-derive,0.11.3,transitive,,transitive-only,0,0,0,
zmij,1.0.21,transitive,,transitive-only,0,0,0,
zstd,0.13.3,transitive,,transitive-only,0,0,0,
zstd-safe,7.2.4,transitive,,transitive-only,0,0,0,
zstd-sys,2.0.16+zstd.1.5.7,transitive,,transitive-only,0,0,0,
